"STTN_ID","STTN_NM","STTN_NM_ENG"
293011063,금천2리마을회관, 
293011072,황용교, 
293011073,황용교, 
293012036,행산리, 
293012037,행산리(미건산업입구), 
293012041,등곡3리(충광농원), 
293011043,감성리, 
293012042,등곡3리(충광농원), 
293012046,등곡리, 
293012048,문곡3리, 
293012050,매포역(노호2리), 
293012051,문곡2리, 
293012052,문곡2리, 
293012053,노호1리, 
293012054,노호1리, 
293012055,등곡2리, 
293012056,등곡2리, 
293013002,운당2리, 
293013007,운당1리, 
293013008,KCC앞, 
293013012,소정면우체국, 
293013013,소정리역, 
293013015,소정면사무소, 
293013016,소정면사무소, 
293013017,소정리입구, 
293013018,소정리, 
293013020,대곡4리, 
293013021,소정육교(맹골), 
293013022,소정육교(맹골), 
293013023,소정육교, 
293013027,고등1리마을회관, 
293014001,수산리, 
293014003,수산리(방아다리), 
293014005,눌왕2리, 
293014006,눌왕2리마을회관, 
293014008,눌왕2리(푸른농원), 
293014009,눌왕2리(푸른농원), 
293011015,영곡2리, 
293001082,세종고등학교, 
293001067,새주막거리, 
293001079,번암아파트, 
293001092,죽림리, 
293001090,조치원전통시장, 
293012045,등곡리, 
293001066,번암삼거리, 
293001072,조치원역뒤편, 
293001075,조치원역뒤편, 
293001076,죽림리, 
293001078,번암아파트, 
293001080,세종고등학교, 
293019011,달전1리, 
186004209,둔곡3교, 
186004148,월드컵경기장역, 
186004227,반석마을입구, 
186004228,반석마을입구, 
186004229,반석역, 
186004230,반석역, 
186004288,온천교, 
186004302,유성자이아파트, 
286055014,금흥교(정보고), 
186004811,지족초등학교, 
186004147,월드컵경기장역, 
186004307,구즉동주민센터입구, 
186004308,구즉동주민센터입구, 
293014018,연기산업단지, 
293014019,연기산업단지, 
293014022,연기면사무소, 
293014023,연기면사무소, 
293014024,한별동, 
293014025,한별동, 
293014026,한별동, 
293014027,한별동, 
293014028,연기리, 
293014030,연기리, 
293056001,도담동(도램마을), 
293055001,세종고속시외버스터미널(지상), 
293055002,세종고속시외버스터미널(지상), 
293014032,실광주유소, 
293014034,세종호수공원, 
293014036,방공학교, 
293014037,보통2리, 
293014038,보통2리, 
293054001,다정동(대성고등학교), 
293054003,다정동, 
293056002,도담동, 
293056005,성금교차로(도램마을9단지), 
293058002,금남초등학교, 
293058001,금남초등학교, 
293058003,신촌리, 
293058006,호탄리, 
293060001,장재리, 
293060002,장재리, 
293060003,한국개발연구원(KDI), 
293060004,한국개발연구원(KDI), 
293057001,한국조세재정연구원, 
293057005,장재리(길재고개), 
293056007,"도램마을14,15단지", 
293056008,양지중학교, 
293061002,아름동커뮤니티센터, 
293061004,범지기마을4단지, 
186004431,안산1통, 
186004432,안산1통, 
186004433,안산산성, 
186004455,외삼삼거리, 
186004534,유성고속버스터미널, 
186004543,죽동네거리, 
186004544,죽동네거리, 
186004620,노은도서관, 
186004622,노은역, 
186004630,송림마을아파트, 
186004638,지족역, 
186004639,지족역, 
186004641,지족초등학교, 
186004701,KT유성지사, 
186004704,외삼1통, 
186004706,안산교, 
186004397,신동, 
293057004,장재리(태련암입구), 
293061006,아름초등학교, 
293062004,다정동, 
293062007,정부세종청사남측, 
293062009,과기정통부(중기부), 
293062010,과기정통부(중기부), 
293062014,정부세종청사북측, 
274002060,오송역, 
274020008,매봉리, 
274020010,현도면행정복지센터.선동리, 
274020012,"시목리, 현도중학교", 
187001379,신탄진동행정복지센터, 
186004320,협진운수, 
270014002,중동사거리, 
186004394,신동2통, 
186004393,신동2통, 
270014003,중동사거리, 
274002001,중봉리, 
274002082,상봉2리(가마소), 
274002084,상봉초등학교, 
274002085,상봉초등학교, 
274002086,서평리, 
274002087,서평리, 
274002088,서평1리, 
274020006,매봉(매봉리 방면), 
274020015,시목리, 
274020017,양지리, 
274020044,시목1리, 
285013003,병천3리, 
274020018,양지2리, 
274020003,달계리, 
186004392,신동1통, 
